word,word_pinyin,word_eng,sentence,sentence_pinyin,sentence_eng,sound,sentence_sound
船,chuán,"ship, boat",河上有一只小船。,Héshàng yǒu yī zhī xiǎo chuán.,There is a little boat on the river.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/ship-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/ship-phrase.mp3
飞机,fēijī,airplane,我乘飞机去中国。,Wǒ chéng fēijī qù zhōngguó.,I take an airplane to go to China.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/airplane-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/airplane-phrase.mp3
火车,huǒchē,train,你可以坐火车去。,Nǐ kěyǐ zuò huǒchē qù.,You may take the train to go there.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/train-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/train-phrase.mp3
东西,dōngxi,"object, thing",我要买很多东西。,Wǒ yào mǎi hěnduō dōngxi.,I want to buy a lot of things.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/object-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/object-phrase.mp3
东西,dōngxi,"object, thing",我要买很多东西。,Wǒ yào mǎi hěnduō dōngxi.,I want to buy a lot of things.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/object-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/object-phrase.mp3
南边,nánbiān,south,纽约在波士顿南边。,Niǔyuē zài bōshìdùn nánbiān.,New York is to the south of Boston.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/south-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/south-phrase.mp3
西方,xīfāng,western,我喜欢西方音乐。,Wǒ xǐhuān xīfāng yīnyuè.,I like western music.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/western-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/western-phrase.mp3
东边,dōngbiān,east,太阳从东边升起。,Tàiyang cóng dōngbiān shēngqǐ.,The sun rises from the east.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/east-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/east-phrase.mp3
为什么,wèishénme,why,你为什么不学开车？,Nǐ wèishénme bùxué kāichē?,Why don't you learn to drive?,http://wotd.transparent.com/mandarin-chinese/level-1/sound/why-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/why-phrase.mp3
女儿,nǚer,daughter,我女儿还很小。,Wǒ nǚér hái hěn xiǎo.,My daughter is still young.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/daughter-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/daughter-phrase.mp3
到,dào,to arrive,火车到了。,Huǒchē dào le.,The train has arrived.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-arrive-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-arrive-phrase.mp3
小费,xiǎofèi,tip; gratuity,中国的服务员不习惯收小费。,Zhōngguó de fúwùyuán bù xíguàn shōu xiǎofèi.,Chinese service people are not used to receiving tips.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/tip-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/tip-phrase.mp3
会,huì,to be able to; can,我会说汉语。,Wǒ huì shuō hànyǔ.,I can speak Chinese.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-be-able-to-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-be-able-to-phrase.mp3
找,zhǎo,to look for,我要找一本汉英词典。,Wǒ yào zhǎo yī běn hànyīng cídiǎn.,I am looking for a Chinese-English dictionary.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-look-for-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-look-for-phrase.mp3
词典,cídiǎn,dictionary,我用词典学汉语。,Wǒ yòng cídiǎn xué hànyǔ.,I use the dictionary to study Chinese.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/dictionary-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/dictionary-phrase.mp3
便宜,piányi,cheap,这件衣服又便宜又好。,Zhè jiàn yīfu yòu piányi yòu hǎo.,This outfit is good and inexpensive.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/cheap-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/cheap-phrase.mp3
笔,bǐ,pen,这支笔好写。,Zhè zhī bǐ hǎoxiě.,This pen is good to write with.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/pen-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/pen-phrase.mp3
礼物,lǐwù,gift,你的圣诞礼物是什么？,Nǐ de shèngdàn lǐwù shì shénme?,What is your Christmas gift?,http://wotd.transparent.com/mandarin-chinese/level-1/sound/gift-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/gift-phrase.mp3
送,sòng,to give,他送我一本书。,Tā sòng wǒ yī běn shū.,He gave me a book.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-give-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-give-phrase.mp3
送,sòng,to give,他送我一本书。,Tā sòng wǒ yī běn shū.,He gave me a book.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-give-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-give-phrase.mp3
橘子,júzi,orange,中国橘子很甜。,Zhōngguó júzi hěn tián.,Chinese oranges are very sweet.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/orange-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/orange-phrase.mp3
苹果,píngguǒ,apple,我一天吃一个苹果。,Wǒ yī tiān chī yí gè píngguǒ.,I eat an apple a day.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/apple-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/apple-phrase.mp3
书,shū,book,他坐车常看书。,Tā zuòchē cháng kànshū.,He often reads books while taking the bus.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/book-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/book-phrase.mp3
报纸,bào zhǐ,newspaper,我要看今天的报纸。,Wǒ yào kàn jīntiān de bào zhǐ.,I want to read today's newspaper.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/newspaper-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/newspaper-phrase.mp3
有名,yǒumíng,famous,他的书很有名。,Tāde shū hěn yǒumíng.,His book is famous.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/famous-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/famous-phrase.mp3
商店,shāngdiàn,"shop, store",这儿有很多商店。,Zhèr yǒu hěn duō shāngdiàn.,There are many stores here.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/shop-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/shop-phrase.mp3
商店,shāngdiàn,"shop, store",这儿有很多商店。,Zhèr yǒu hěn duō shāngdiàn.,There are many stores here.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/shop-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/shop-phrase.mp3
面包,miànbāo,"bread, roll",我每天都吃面包。,Wǒ měitiān dōu chī miànbāo.,I eat bread every day.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/bread-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/bread-phrase.mp3
啤酒,píjiǔ,beer,我们喝了三瓶啤酒。,Wǒmen hē le sānpíng píjiǔ.,We drank three bottles of beer.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/beer-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/beer-phrase.mp3
啤酒,píjiǔ,beer,我们喝了三瓶啤酒。,Wǒmen hē le sānpíng píjiǔ.,We drank three bottles of beer.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/beer-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/beer-phrase.mp3
中餐,zhōngcān,Chinese food,我喜欢中餐。,Wǒ xǐhuān zhōngcān.,I like Chinese food.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/Chinese-food-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/Chinese-food-phrase.mp3
中餐,zhōngcān,Chinese food,我喜欢中餐。,Wǒ xǐhuān zhōngcān.,I like Chinese food.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/Chinese-food-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/Chinese-food-phrase.mp3
红,hóng,red,这红花很美。,Zhè hónghuā hěnměi.,This red flower is very pretty.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/red-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/red-phrase.mp3
葡萄酒,pútáojiǔ,grape wine,我只喝葡萄酒。,Wǒ zhǐ hē pútaojiǔ.,I only drink grape wine.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/grape-wine-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/grape-wine-phrase.mp3
葡萄酒,pútáojiǔ,grape wine,我只喝葡萄酒。,Wǒ zhǐ hē pútaojiǔ.,I only drink grape wine.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/grape-wine-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/grape-wine-phrase.mp3
参加,cānjiā,to participate,请参加我们的晚会。,Qǐng cānjiā wǒmen de wǎnhuì.,Please join our party.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-participate-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-participate-phrase.mp3
快乐,kuàilè,happy,祝你生日快乐！,Zhù nǐ shēngrì kuàilè!,Wishing you a happy birthday!,http://wotd.transparent.com/mandarin-chinese/level-1/sound/happy2-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/happy2-phrase.mp3
祝贺,zhùhè,to congratulate,朋友们祝贺我了。,Péngyoumen zhùhè wǒ le.,My friends all congratulated me.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-congratulate-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-congratulate-phrase.mp3
生日,shēngrì,birthday,你的生日是哪天?,Nǐ de shēngrì shì nǎtiān?,When is your birthday?,http://wotd.transparent.com/mandarin-chinese/level-1/sound/birthday-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/birthday-phrase.mp3
怎么样,zěnmeyàng,how,你的汉语怎么样？,Nǐ de hànyǔ zěnmeyàng?,How is your Chinese?,http://wotd.transparent.com/mandarin-chinese/level-1/sound/how-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/how-phrase.mp3
去年,qùnián,last year,去年我毕业了。,Qùnián wǒ bīyè le.,I graduated last year.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/last-year-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/last-year-phrase.mp3
明年,míngnián,next year,明年我要回中国。,Míngnián wǒ yào huí zhōngguó.,I'll go back to China next year.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/next-year-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/next-year-phrase.mp3
今年,jīnnián,this year,今年春天很短。,Jīnnián chūntiān hěn duǎn.,This year spring is short.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/this-year-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/this-year-phrase.mp3
今年,jīnnián,this year,今年春天很短。,Jīnnián chūntiān hěn duǎn.,This year spring is short.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/this-year-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/this-year-phrase.mp3
主任,zhǔrèn,director,公司的主任在开会。,Gōngsī de zhǔrèn zài kāihuì.,The directors of this company are having a meeting.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/director-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/director-phrase.mp3
百,bǎi,hundred,一百个人要参加聚会。,Yī bǎi gè rén yào cānjiā jùhuì.,One hundred people will participate in the meeting.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/hundred-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/hundred-phrase.mp3
孩子,háizi,child,他的孩子还小。,Tā de háizi hái xiǎo.,His child is still young.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/child-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/child-phrase.mp3
车,chē,car,你有车吗？,Nǐ yǒu chē ma?,Do you have a car?,http://wotd.transparent.com/mandarin-chinese/level-1/sound/car-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/car-phrase.mp3
汉语,hànyǔ,Chinese,汉语不难学。,Hànyǔ bù nán xué.,Chinese is not difficult to study.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/Chinese-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/Chinese-phrase.mp3
汉语,hànyǔ,Chinese,汉语不难学。,Hànyǔ bù nán xué.,Chinese is not difficult to study.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/Chinese-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/Chinese-phrase.mp3
外语,wàiyǔ,foreign language,很多学生学外语。,Hěnduō xuéshēng xué wàiyǔ.,Many students study foreign languages.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/foreign-language-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/foreign-language-phrase.mp3
喜欢,xǐhuān,to like,猫喜欢吃鱼。,Māo xǐhuan chī yú.,Cats like to eat fish.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-like-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-like-phrase.mp3
真,zhēn,really,今天真热。,Jīntiān zhēn rè.,It is really hot today.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/really-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/really-phrase.mp3
工作,gōngzuò,to work,我高高兴兴地工作。,Wǒ gāogāoxìngxìng de gōngzuò.,I work happily.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-work-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-work-phrase.mp3
做,zuò,to do,我有很多事要做。,Wǒ yǒu hěnduō shì yào zuò.,I have many things to do.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-do-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-do-phrase.mp3
可爱,kěài,"cute, lovely",这些孩子很可爱。,Zhèxiē háizi hěn kěài.,These children are very lovely.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/cute-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/cute-phrase.mp3
猫,māo,cat,这只小猫是黑的。,Zhè zhī xiǎomāo shì hēide.,This little cat is black.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/cat-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/cat-phrase.mp3
狗,gǒu,dog,他家有一条狗。,Tā jiā yǒu yìtiáo gǒu.,His family has a dog.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/dog-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/dog-phrase.mp3
妹妹,mèimei,younger sister,我妹妹比我小三岁。,Wǒ mèimei bǐ wǒ xiǎo sān suì.,My younger sister is three years younger than I.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/younger-sister-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/younger-sister-phrase.mp3
姐姐,jiějie,older sister,我有一个姐姐。,Wǒ yǒu yí gè jiějie.,I have an older sister.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/older-sister-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/older-sister-phrase.mp3
和,hé,and,哥哥和弟弟都学汉语。,Gēge hé dìdi dōu xué hànyǔ.,My older and younger brothers both study Chinese.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/and-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/and-phrase.mp3
照片,zhàopiàn,picture,这是我家的照片。,Zhè shì wǒjiā de zhàopiàn.,This is the picture of my family.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/picture-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/picture-phrase.mp3
付款,fùkuǎn,to pay bills,我们吃完饭爸爸就付款。,Wǒmén chīwán fàn bàba jiù fùkuǎn.,Dad will pay the bill after we finish eating.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-pay-bills-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-pay-bills-phrase.mp3
付款,fùkuǎn,to pay bills,我们吃完饭爸爸就付款。,Wǒmén chīwán fàn bàba jiù fùkuǎn.,Dad will pay the bill after we finish eating.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-pay-bills-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-pay-bills-phrase.mp3
家,jiā,"family, home",我们家在纽约。,Wǒmén jiā zài niǔyuē.,My family lives in New York.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/family-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/family-phrase.mp3
计算,jìsuàn,to calculate,他要计算一下他的收入。,Tā yào jìsuàn yíxià tā de shǒurù.,He wants to calculate his income.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-calculate-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/to-calculate-phrase.mp3
小学,xiǎoxué,primary school,小学生也有作业。,Xiǎoxuéshēng yěyǒu zuòyè.,Primary school students also have homework.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/primary-school-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/primary-school-phrase.mp3
中学,zhōngxué,middle school,我弟弟上中学。,Wǒ dìdi shàng zhōngxué.,My younger brother is in middle school.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/middle-school-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/middle-school-phrase.mp3
教育,jiàoyù,education,美国的大学教育很好。,Měiguó dàxué jiàoyù hěnhao.,American higher education is good.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/education-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/education-phrase.mp3
物理,wùlǐ,physics,我在中学学了物理。,Wǒ zài zhōngxué xué le wùlǐ.,I studied physics in middle school.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/physics-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/physics-phrase.mp3
数学,shùxué,mathematics,我的数学很好。,Wǒ de shùxué hěnhǎo.,I am good at mathematics.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/mathematics-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/mathematics-phrase.mp3
音乐,yīnyuè,music,我常听古典音乐。,Wǒ cháng tīng gǔdiǎn yīnyuè.,I often listen to classical music.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/music-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/music-phrase.mp3
哲学,zhéxué,philosophy,我学习古代哲学。,Wǒ xuéxí gǔdài zhéxué.,I study classical philosophy.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/philosophy-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/philosophy-phrase.mp3
历史,lìshǐ,history,中国历史很长。,Zhōngguó lìshǐ hěn cháng.,China has a long history.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/history-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/history-phrase.mp3
文化,wénhuà,culture,我喜欢美国文化。,Wǒ xǐhuān měiguó wénhuà.,I like American culture.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/culture-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/culture-phrase.mp3
专业,zhuānyè,major,你的专业是什么？,Nǐ de zhuānyè shì shénme?,What is your major?,http://wotd.transparent.com/mandarin-chinese/level-1/sound/major-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/major-phrase.mp3
电脑,diànnǎo,computer,我弟弟喜欢玩电脑。,Wǒ dìdi xǐhuān wán diànnǎo.,My younger brother likes to play on the computer.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/computer-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/computer-phrase.mp3
电脑,diànnǎo,computer,我弟弟喜欢玩电脑。,Wǒ dìdi xǐhuān wán diànnǎo.,My younger brother likes to play on the computer.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/computer-word.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/computer-phrase.mp3
律师,lǜshī,lawyer,我想当律师。,Wǒ xiǎng dāng lǜshī.,I want to be a lawyer.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00454_chinese_sound_3.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00456_chinese_sound_3.mp3
教授,jiàoshòu,professor,他是数学教授。,Tā shì shùxué jiaòshòu.,He is a mathematics professor.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00446_chinese_sound_3.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00448_chinese_sound_3.mp3
老师,lǎoshī,teacher,我的老师都很好。,Wǒ de lǎoshī dōu hěn hǎo.,My teachers are all very good.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00438_chinese_sound_3.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00440_chinese_sound_3.mp3
护士,hùshi,nurse,我姐姐是护士。,Wǒ jiějie shì hùshi.,My older sister is a nurse.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00430_chinese_sound_3.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00432_chinese_sound_3.mp3
医生,yīshēng,doctor,她妈妈是医生。,Tā māma shì yīshēng.,Her mother is a doctor.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00422_chinese_sound_3.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00424_chinese_sound_3.mp3
鞋子,xiézi,shoe,这双鞋子很合适。,Zhèshuāng xiézi hěn héshì.,These shoes fit me well.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00414_chinese_sound_3.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00416_chinese_sound_3.mp3
名片,míngpiàn,business card,这是我的名片。,Zhè shì wǒ de míngpiàn.,This is my business card.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00406_chinese_sound_3.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00408_chinese_sound_3.mp3
电影,diànyǐng,movie,我们去看电影吧。,Wǒmen qù kàn diànyǐng ba.,Let's go see a movie.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00398_chinese_sound_3.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00400_chinese_sound_3.mp3
关,guān,"to close, turn off",请关灯。,Qǐng guāndēng.,Please turn off the light.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00394_chinese_sound_3.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00396_chinese_sound_3.mp3
开车,kāi chē,to drive,我会开车。,Wǒ huì kāi chē.,I know how to drive.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00390_chinese_sound_3.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00392_chinese_sound_3.mp3
行,xíng,"to be okay, to suit",明天去，行吗？,"Míngtiān qù, xíngma?","Let's go tomorrow, okay?",http://wotd.transparent.com/mandarin-chinese/level-1/sound/00386_chinese_1.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00388_chinese_1.mp3
抱歉,bàoqiàn,sorry,抱歉，我不说英语。,"Bàoqiàn, wǒ bù shuō yīngyǔ.","I am sorry, I don't speak English.",http://wotd.transparent.com/mandarin-chinese/level-1/sound/00382_chinese_1.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00384_chinese_1.mp3
说,shuō,"to speak, say",你说英语吗？,Nǐ shuō yīngyǔ ma?,Do you speak English?,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00378_chinese_1.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00380_chinese_1.mp3
没有,méiyǒu,to not have,我没有妹妹。,Wǒ méiyǒu mèimei.,I don't have a younger sister.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00374_chinese_1.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00376_chinese_1.mp3
十二月,shíèryuè,December,圣诞节在十二月。,Shèngdànjié zài shíèr yuè.,Christmas is in December.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00366_chinese_1.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00368_chinese_1.mp3
一月,yīyuè,January,一月一号是新年。,Yīyuè yīhào shì xīnnián.,January the first is New Year's Day.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00358_chinese_1.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00360_chinese_1.mp3
一月,yīyuè,January,一月一号是新年。,Yīyuè yīhào shì xīnnián.,January the first is New Year's Day.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00358_chinese_1.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00360_chinese_1.mp3
星期一,xīngqīyī,Monday,星期一我最忙。,Xīngqīyī wǒ zuì máng.,I am busiest on Monday.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00342_chinese_1.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00344_chinese_1.mp3
星期天,xīngqītiān,Sunday,星期天我休息。,Xīngqītiān wǒ xiūxi.,I rest on Sunday.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00334_chinese_1.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00336_chinese_1.mp3
星期天,xīngqītiān,Sunday,星期天我休息。,Xīngqītiān wǒ xiūxi.,I rest on Sunday.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00334_chinese_1.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00336_chinese_1.mp3
现在,xiànzài,now,现在去，好不好？,"Xiànzài qù, hǎobùhǎo?","Let's go now, okay?",http://wotd.transparent.com/mandarin-chinese/level-1/sound/00322_chinese_1.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00324_chinese_1.mp3
时间,shíjiān,free time,今天我没有时间。,Jīntiān wǒ méiyǒu shíjiān.,I don't have time today.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00316_chinese_1.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00318_chinese_1.mp3
时间,shíjiān,free time,今天我没有时间。,Jīntiān wǒ méiyǒu shíjiān.,I don't have time today.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00316_chinese_1.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00318_chinese_1.mp3
天气,tiānqì,weather,今天天气很好。,Jīntiān tiānqì hěnhǎo.,The weather is good today.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00300_chinese_1.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00302_chinese_1.mp3
天气,tiānqì,weather,今天天气很好。,Jīntiān tiānqì hěnhǎo.,The weather is good today.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00300_chinese_1.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00302_chinese_1.mp3
昨天,zuótiān,yesterday,昨天下了大雨。,Zuótiān xiàle dàyǔ.,Yesterday it rained heavily.,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00292_chinese_1.mp3,http://wotd.transparent.com/mandarin-chinese/level-1/sound/00294_chinese_1.mp3
